timestamp,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
12:03.2,21593,10035,6642,9080,5661,3810,900,281861
12:04.2,171672,180004,151890,100845,42087,56084,18460,275205
12:05.2,580718,273365,104037,196795,147792,190909,24330,275717
12:06.2,102195,39122,20180,11141,8326,16376,4326,272645
12:07.2,130680,21409,20132,20884,9137,15011,1493,269829
12:08.3,2104138,231581,65817,263312,180696,20896,3758,269829
12:09.3,824783,71554,125523,160977,363149,41531,8133,271877
12:10.2,364420,169822,105300,93408,48027,32772,11663,272389
12:11.2,1485410,763334,160664,123144,109890,23260,30015,271877
12:12.2,11962,10516,13493,20321,17062,3538,1074,276485
12:13.3,12736,1104,1757,3605,6285,2393,776,276485
12:14.2,155099,10124,16444,36117,42049,11356,2299,279045
12:15.2,23125,24698,19775,14924,21008,4794,2883,283397
12:16.2,113077,11769,20506,34235,30536,10574,12000,281861
12:17.2,44100,3749,2757,1872,3608,719,650,277765
12:18.2,823435,212323,175689,184719,161631,122571,48933,276485
12:19.2,253748,24675,45874,176043,20667,20214,16884,273157
12:20.3,487648,62736,116962,84678,105631,24208,18928,272389
12:21.2,45574,17267,22141,7906,4823,3010,1834,271877
12:22.2,57412,31182,36732,11632,27485,11062,2618,273157
12:23.2,24910,3986,2006,4328,4035,820,379,274437
12:24.3,20819,7008,4345,29809,25166,5229,5372,278277
12:25.2,168662,38906,16240,65862,40589,19108,11453,281093
12:26.2,263379,95505,114614,29393,70484,22407,3834,279813
12:27.3,72354,58396,57227,21627,32571,10575,4121,280069
12:28.2,8501,10694,5278,5385,5645,906,598,277765
12:29.2,1486932,300269,186892,88203,248976,78348,46330,277509
12:30.2,83400,17158,14141,11697,17030,6797,1164,277509
12:31.2,426692,79742,29860,82344,34769,14559,19231,274949
12:32.2,233782,38181,29098,56994,30948,22120,1545,273157
12:33.2,36191,15830,16148,11339,11222,3375,1304,273157
12:34.2,104127,10879,16169,14723,9866,13425,8072,271621
12:35.2,24448,9697,3935,6791,6974,1793,1059,274181
12:36.2,161887,27037,86205,67880,44968,9109,3661,274949
12:37.2,1532843,199517,239288,150959,248635,82799,19483,274437
12:38.3,16523,8599,1074,16701,4124,4080,1534,276485
12:39.2,135292,88694,50612,20378,35966,6356,2988,275717
12:40.3,126708,103498,27843,32485,25749,9139,2067,274949
12:41.2,11879,1564,7871,2471,5747,1759,604,276485
12:42.2,67873,17254,19054,28015,16612,12385,1900,276485
12:43.2,878342,191237,286001,179556,633885,228573,27424,279301
